Round Number,Date,Location,Home Team,Away Team,Result
1,11/10/2019 19:00,Coopers Stadium,Adelaide United,Sydney FC,
1,12/10/2019 16:45,Bankwest Stadium,Western Sydney Wanderers FC,Central Coast Mariners,
1,12/10/2019 19:00,Marvel Stadium,Melbourne Victory,Melbourne City FC,
1,13/10/2019 15:30,Westpac Stadium,Wellington Phoenix,Western United FC,
1,13/10/2019 17:30,HBF Park,Perth Glory,Brisbane Roar FC,
2,18/10/2019 19:00,Marvel Stadium,Melbourne Victory,Western Sydney Wanderers FC,
2,19/10/2019 16:45,GMHBA Stadium,Western United FC,Perth Glory,
2,19/10/2019 19:00,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,
2,20/10/2019 15:30,AAMI Park,Melbourne City FC,Adelaide United,
2,20/10/2019 17:30,Leichhardt Oval,Sydney FC,Wellington Phoenix,
3,25/10/2019 19:00,Suncorp Stadium,Brisbane Roar FC,Melbourne Victory,
3,26/10/2019 16:45,McDonald Jones Stadium,Newcastle Jets,Adelaide United,
3,26/10/2019 19:00,Bankwest Stadium,Western Sydney Wanderers FC,Sydney FC,
3,27/10/2019 15:30,Westpac Stadium,Wellington Phoenix,Perth Glory,
3,27/10/2019 17:30,GMHBA Stadium,Western United FC,Melbourne City FC,
4,01/11/2019 19:00,Leichhardt Oval,Sydney FC,Newcastle Jets,
4,02/11/2019 16:45,Bankwest Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,
4,02/11/2019 19:00,Marvel Stadium,Melbourne Victory,Western United FC,
4,03/11/2019 15:30,AAMI Park,Melbourne City FC,Wellington Phoenix,
4,03/11/2019 17:30,HBF Park,Perth Glory,Central Coast Mariners,
5,08/11/2019 19:00,AAMI Park,Melbourne City FC,Central Coast Mariners,
5,09/11/2019 16:45,McDonald Jones Stadium,Newcastle Jets,Perth Glory,
5,09/11/2019 19:00,GMHBA Stadium,Western United FC,Western Sydney Wanderers FC,
5,10/11/2019 15:30,AAMI Park,Melbourne Victory,Wellington Phoenix,
5,10/11/2019 17:30,Coopers Stadium,Adelaide United,Brisbane Roar FC,
6,15/11/2019 19:00,Central Coast Stadium,Central Coast Mariners,Adelaide United,
6,16/11/2019 16:45,Netstrata Jubilee Stadium,Sydney FC,Melbourne Victory,
6,16/11/2019 19:00,GMHBA Stadium,Western United FC,Newcastle Jets,
6,17/11/2019 15:30,Dolphin Stadium,Brisbane Roar FC,Melbourne City FC,
7,22/11/2019 19:00,Bankwest Stadium,Western Sydney Wanderers FC,Melbourne City FC,
7,23/11/2019 16:45,Westpac Stadium,Wellington Phoenix,Brisbane Roar FC,
7,23/11/2019 19:00,Coopers Stadium,Adelaide United,Melbourne Victory,
7,23/11/2019 21:15,HBF Park,Perth Glory,Sydney FC,
7,24/11/2019 15:30,Central Coast Stadium,Central Coast Mariners,Western United FC,
8,29/11/2019 19:00,AAMI Park,Melbourne Victory,Perth Glory,
8,30/11/2019 16:45,Suncorp Stadium,Brisbane Roar FC,Central Coast Mariners,
8,30/11/2019 19:00,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers FC,
8,01/12/2019 15:30,GMHBA Stadium,Western United FC,Sydney FC,
8,01/12/2019 17:30,Coopers Stadium,Adelaide United,Wellington Phoenix,
9,06/12/2019 19:00,AAMI Park,Melbourne City FC,Perth Glory,
9,07/12/2019 16:45,Eden Park,Wellington Phoenix,Western Sydney Wanderers FC,
9,07/12/2019 19:00,Netstrata Jubilee Stadium,Sydney FC,Brisbane Roar FC,
9,08/12/2019 15:30,GMHBA Stadium,Western United FC,Melbourne Victory,
9,08/12/2019 17:30,Coopers Stadium,Adelaide United,Newcastle Jets,
10,13/12/2019 19:00,Suncorp Stadium,Brisbane Roar FC,Western United FC,
10,14/12/2019 16:45,AAMI Park,Melbourne Victory,Wellington Phoenix,
10,14/12/2019 19:00,Netstrata Jubilee Stadium,Sydney FC,Central Coast Mariners,
10,14/12/2019 21:15,HBF Park,Perth Glory,Western Sydney Wanderers FC,
10,15/12/2019 15:30,McDonald Jones Stadium,Newcastle Jets,Melbourne City FC,
11,20/12/2019 19:00,Bankwest Stadium,Western Sydney Wanderers FC,Western United FC,
11,21/12/2019 16:45,Westpac Stadium,Wellington Phoenix,Sydney FC,
11,21/12/2019 19:00,AAMI Park,Melbourne City FC,Melbourne Victory,
11,21/12/2019 21:15,HBF Park,Perth Glory,Newcastle Jets,
11,22/12/2019 15:30,Central Coast Stadium,Central Coast Mariners,Adelaide United,
12,27/12/2019 19:00,Coopers Stadium,Adelaide United,Western Sydney Wanderers FC,
12,28/12/2019 16:45,Mars Stadium,Western United FC,Wellington Phoenix,
12,28/12/2019 19:00,McDonald Jones Stadium,Newcastle Jets,Brisbane Roar FC,
12,29/12/2019 15:30,Netstrata Jubilee Stadium,Sydney FC,Melbourne City FC,
12,31/12/2019 19:00,Central Coast Stadium,Central Coast Mariners,Perth Glory,
13,01/01/2020 19:00,Bankwest Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,
13,03/01/2020 19:00,AAMI Park,Melbourne City FC,Western United FC,
