Round Number,Date,Location,Home Team,Away Team,Result
1,17/12/2019 08:10,The Gabba,Brisbane Heat,Sydney Thunder,
1,18/12/2019 08:10,SCG,Sydney Sixers,Perth Scorchers,
1,19/12/2019 08:10,GMHBA Stadium,Melbourne Renegades,Sydney Thunder,
1,20/12/2019 03:45,Traeger Park,Hobart Hurricanes,Sydney Sixers,
1,20/12/2019 08:10,Metricon Stadium,Brisbane Heat,Melbourne Stars,
1,21/12/2019 07:10,Manuka Oval,Sydney Thunder,Adelaide Strikers,
1,21/12/2019 10:10,Optus Stadium,Perth Scorchers,Melbourne Renegades,
1,22/12/2019 03:45,Ted Summerton Reserve,Melbourne Stars,Hobart Hurricanes,
1,22/12/2019 08:10,SCG,Sydney Sixers,Brisbane Heat,
1,23/12/2019 08:10,Adelaide Oval,Adelaide Strikers,Perth Scorchers,
2,24/12/2019 03:45,Blundstone Arena,Hobart Hurricanes,Melbourne Renegades,
2,26/12/2019 08:10,Optus Stadium,Perth Scorchers,Sydney Sixers,
2,27/12/2019 07:10,Metricon Stadium,Melbourne Stars,Adelaide Strikers,
2,28/12/2019 08:10,SCG,Sydney Sixers,Sydney Thunder,
2,29/12/2019 08:10,Marvel Stadium,Melbourne Renegades,Adelaide Strikers,
2,30/12/2019 08:10,University of Tasmania Stadium,Hobart Hurricanes,Melbourne Stars,
3,31/12/2019 08:10,Adelaide Oval,Adelaide Strikers,Sydney Thunder,
3,01/01/2020 08:10,Metricon Stadium,Brisbane Heat,Perth Scorchers,
3,02/01/2020 04:40,Sydney Showground Stadium,Sydney Thunder,Melbourne Stars,
3,02/01/2020 08:10,Marvel Stadium,Melbourne Renegades,Sydney Sixers,
3,03/01/2020 08:10,Blundstone Arena,Hobart Hurricanes,Brisbane Heat,
3,04/01/2020 08:10,MCG,Melbourne Stars,Melbourne Renegades,
3,05/01/2020 07:40,Coffs International Stadium,Sydney Sixers,Adelaide Strikers,
3,05/01/2020 10:40,Optus Stadium,Perth Scorchers,Hobart Hurricanes,
3,06/01/2020 08:10,Sydney Showground Stadium,Sydney Thunder,Brisbane Heat,
4,07/01/2020 08:10,GMHBA Stadium,Melbourne Renegades,Perth Scorchers,
4,08/01/2020 04:40,Adelaide Oval,Adelaide Strikers,Sydney Sixers,
4,08/01/2020 08:10,MCG,Melbourne Stars,Sydney Thunder,
4,09/01/2020 08:10,The Gabba,Brisbane Heat,Hobart Hurricanes,
4,10/01/2020 08:10,Marvel Stadium,Melbourne Renegades,Melbourne Stars,
4,11/01/2020 07:10,Sydney Showground Stadium,Sydney Thunder,Hobart Hurricanes,
4,11/01/2020 10:10,Optus Stadium,Perth Scorchers,Brisbane Heat,
4,12/01/2020 04:40,Adelaide Oval,Adelaide Strikers,Melbourne Renegades,
4,12/01/2020 08:10,MCG,Melbourne Stars,Sydney Sixers,
4,13/01/2020 08:10,Blundstone Arena,Hobart Hurricanes,Perth Scorchers,
5,14/01/2020 04:40,The Gabba,Brisbane Heat,Adelaide Strikers,
5,15/01/2020 07:10,Manuka Oval,Sydney Thunder,Melbourne Renegades,
5,15/01/2020 10:10,Optus Stadium,Perth Scorchers,Melbourne Stars,
5,16/01/2020 08:10,SCG,Sydney Sixers,Hobart Hurricanes,
5,17/01/2020 04:40,Adelaide Oval,Adelaide Strikers,Brisbane Heat,
5,18/01/2020 04:40,MCG,Melbourne Stars,Perth Scorchers,
5,18/01/2020 08:10,Sydney Showground Stadium,Sydney Thunder,Sydney Sixers,
5,19/01/2020 03:45,University of Tasmania Stadium,Hobart Hurricanes,Adelaide Strikers,
5,19/01/2020 08:10,The Gabba,Brisbane Heat,Melbourne Renegades,
5,20/01/2020 07:40,SCG,Sydney Sixers,Melbourne Stars,
5,20/01/2020 10:40,Optus Stadium,Perth Scorchers,Sydney Thunder,
6,21/01/2020 08:10,Marvel Stadium,Melbourne Renegades,Hobart Hurricanes,
6,22/01/2020 08:10,Adelaide Oval,Adelaide Strikers,Melbourne Stars,
6,23/01/2020 08:10,The Gabba,Brisbane Heat,Sydney Sixers,
6,24/01/2020 07:10,Blundstone Arena,Hobart Hurricanes,Sydney Thunder,
6,24/01/2020 10:10,Optus Stadium,Perth Scorchers,Adelaide Strikers,
6,25/01/2020 04:40,SCG,Sydney Sixers,Melbourne Renegades,
6,25/01/2020 08:10,MCG,Melbourne Stars,Brisbane Heat,
6,26/01/2020 03:45,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,
6,26/01/2020 08:10,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,
6,27/01/2020 03:45,Marvel Stadium,Melbourne Renegades,Brisbane Heat,
Eliminator,29/01/2020 13:00,,To be announced,To be announced,
Qualifier / Knockout,30/01/2020 13:00,,To be announced,To be announced,
Qualifier / Knockout,31/01/2020 13:00,,To be announced,To be announced,
Challenger,05/02/2020 13:00,,To be announced,To be announced,
Final,07/02/2020 13:00,,To be announced,To be announced,
