Round Number,Date,Location,Home Team,Away Team,Result
1,18/10/2019 08:40,North Sydney Oval No.1,Sydney Sixers,Sydney Thunder,
1,19/10/2019 03:00,CitiPower Centre,Melbourne Stars,Hobart Hurricanes,
1,19/10/2019 03:00,Karen Rolton Oval,Adelaide Strikers,Melbourne Renegades,
1,19/10/2019 08:10,North Sydney Oval No.1,Sydney Sixers,Brisbane Heat,
1,20/10/2019 03:00,CitiPower Centre,Melbourne Stars,Hobart Hurricanes,
1,20/10/2019 03:00,Karen Rolton Oval,Adelaide Strikers,Melbourne Renegades,
1,20/10/2019 03:10,North Sydney Oval No.1,Sydney Thunder,Brisbane Heat,
1,23/10/2019 02:00,CitiPower Centre,Melbourne Renegades,Perth Scorchers,
2,25/10/2019 22:40,Allan Border Field,Adelaide Strikers,Hobart Hurricanes,
2,26/10/2019 02:10,Allan Border Field,Brisbane Heat,Perth Scorchers,
2,26/10/2019 03:00,Hurstville Oval,Sydney Sixers,Melbourne Stars,
2,26/10/2019 08:00,Blacktown International Sportspark 1,Sydney Thunder,Melbourne Renegades,
2,26/10/2019 22:40,Allan Border Field,Perth Scorchers,Adelaide Strikers,
2,27/10/2019 02:10,Allan Border Field,Brisbane Heat,Hobart Hurricanes,
2,27/10/2019 03:00,Bankstown Oval,Sydney Thunder,Melbourne Stars,
3,01/11/2019 06:40,WACA Ground,Perth Scorchers,Melbourne Renegades,
3,02/11/2019 01:10,WACA Ground,Melbourne Renegades,Sydney Sixers,
3,02/11/2019 03:00,West Park,Hobart Hurricanes,Sydney Thunder,
3,02/11/2019 04:55,WACA Ground,Perth Scorchers,Melbourne Stars,
3,02/11/2019 07:15,Harrup Park,Brisbane Heat,Adelaide Strikers,
3,03/11/2019 00:00,West Park,Hobart Hurricanes,Sydney Thunder,
3,03/11/2019 00:10,WACA Ground,Sydney Sixers,Melbourne Stars,
3,03/11/2019 04:00,Harrup Park,Brisbane Heat,Adelaide Strikers,
4,09/11/2019 02:00,CitiPower Centre,Melbourne Renegades,Hobart Hurricanes,
4,09/11/2019 02:40,Karen Rolton Oval,Adelaide Strikers,Perth Scorchers,
4,09/11/2019 04:00,North Sydney Oval No.1,Sydney Sixers,Brisbane Heat,
4,09/11/2019 23:00,Karen Rolton Oval,Perth Scorchers,Sydney Thunder,
4,10/11/2019 02:00,CitiPower Centre,Melbourne Renegades,Hobart Hurricanes,
4,10/11/2019 02:40,Karen Rolton Oval,Adelaide Strikers,Melbourne Stars,
4,12/11/2019 06:30,WACA Ground,Perth Scorchers,Sydney Thunder,
4,13/11/2019 00:00,Invermay Park,Hobart Hurricanes,Sydney Sixers,
4,13/11/2019 03:00,CitiPower Centre,Melbourne Stars,Brisbane Heat,
5,15/11/2019 08:10,Drummoyne Oval,Sydney Thunder,Sydney Sixers,
5,16/11/2019 03:00,Centennial Park Oval,Adelaide Strikers,Melbourne Stars,
5,16/11/2019 08:10,Drummoyne Oval,Sydney Thunder,Brisbane Heat,
5,16/11/2019 23:00,Drummoyne Oval,Perth Scorchers,Brisbane Heat,
5,17/11/2019 03:10,Drummoyne Oval,Sydney Sixers,Melbourne Renegades,
5,19/11/2019 23:00,CitiPower Centre,Melbourne Renegades,Brisbane Heat,
5,20/11/2019 03:00,CitiPower Centre,Melbourne Stars,Perth Scorchers,
5,20/11/2019 03:30,North Dalton Park,Sydney Thunder,Adelaide Strikers,
5,20/11/2019 06:30,North Sydney Oval No.1,Sydney Sixers,Hobart Hurricanes,
6,22/11/2019 08:10,Blundstone Arena,Hobart Hurricanes,Brisbane Heat,
6,22/11/2019 23:00,Lilac Hill,Perth Scorchers,Sydney Sixers,
6,23/11/2019 03:00,Eastern Oval,Melbourne Renegades,Melbourne Stars,
6,23/11/2019 08:10,Blundstone Arena,Hobart Hurricanes,Adelaide Strikers,
6,23/11/2019 23:00,Blundstone Arena,Adelaide Strikers,Sydney Thunder,
6,23/11/2019 23:00,Lilac Hill,Perth Scorchers,Sydney Sixers,
6,27/11/2019 02:10,Allan Border Field,Brisbane Heat,Melbourne Renegades,
6,27/11/2019 03:30,Manuka Oval,Sydney Thunder,Melbourne Stars,
7,29/11/2019 23:40,CitiPower Centre,Melbourne Stars,Melbourne Renegades,
7,30/11/2019 03:00,Hurstville Oval,Sydney Sixers,Adelaide Strikers,
7,30/11/2019 03:00,Lilac Hill,Perth Scorchers,Hobart Hurricanes,
7,30/11/2019 23:40,CitiPower Centre,Melbourne Renegades,Sydney Thunder,
7,01/12/2019 03:00,Hurstville Oval,Sydney Sixers,Adelaide Strikers,
7,01/12/2019 03:00,Lilac Hill,Perth Scorchers,Hobart Hurricanes,
7,01/12/2019 04:00,CitiPower Centre,Melbourne Stars,Brisbane Heat,
Semi Finals,07/12/2019 00:10,Allan Border Field,Adelaide Strikers,Perth Scorchers,
Semi Finals,07/12/2019 03:50,Allan Border Field,Brisbane Heat,Melbourne Renegades,
Final,08/12/2019 03:40,Allan Border Field,Brisbane Heat,Adelaide Strikers,
