Round Number,Date,Location,Home Team,Away Team,Result
1,21/02/2020 08:00,Spotless Stadium,Australia,India,
1,22/02/2020 07:00,WACA,West Indies,Thailand,
1,22/02/2020 11:00,WACA,New Zealand,Sri Lanka,
1,23/02/2020 11:00,WACA,England,South Africa,
2,24/02/2020 07:00,WACA,Australia,Sri Lanka,
2,24/02/2020 11:00,WACA,India,Bangladesh,
2,26/02/2020 04:00,Manuka Oval,England,Thailand,
2,26/02/2020 08:00,Manuka Oval,West Indies,Pakistan,
3,27/02/2020 04:00,Junction Oval,India,New Zealand,
3,27/02/2020 08:00,Manuka Oval,Australia,Bangladesh,
3,28/02/2020 04:00,Manuka Oval,South Africa,Thailand,
3,28/02/2020 08:00,Manuka Oval,England,Pakistan,
4,29/02/2020 00:00,Junction Oval,New Zealand,Bangladesh,
4,29/02/2020 04:00,Junction Oval,India,Sri Lanka,
4,01/03/2020 04:00,Spotless Stadium,South Africa,Pakistan,
4,01/03/2020 08:00,Spotless Stadium,England,West Indies,
5,02/03/2020 00:00,Junction Oval,Sri Lanka,Bangladesh,
5,02/03/2020 04:00,Junction Oval,Australia,New Zealand,
5,03/03/2020 04:00,Spotless Stadium,Pakistan,Thailand,
5,03/03/2020 08:00,Spotless Stadium,West Indies,South Africa,
Semi Finals,05/03/2020 04:00,Sydney Cricket Ground,To be announced,To be announced,
Semi Finals,05/03/2020 08:00,Sydney Cricket Ground,To be announced,To be announced,
Final,08/03/2020 07:00,Melbourne Cricket Ground,To be announced,To be announced,
